sample_id,text,predicted_category,keyword_match_count
281,The senate committee proposed changes to minimum wage ahead of the election.,Politics,1
282,The latest chip update adds AI-assisted battery suggestions.,Technology,3
283,director Maya Lin discussed the inspiration behind their new novel adaptation in an interview.,Entertainment,2
284,The gene variant was confirmed by two independent research groups.,Science,2
285,Lawmakers debated a new healthcare reform bill in a heated session.,Politics,2
286,Lake Senna introduced new rules affecting historic landmarks for tourists.,Uncategorized,0
287,A security researcher found a flaw in browser that affects voice recognition.,Technology,2
288,Astronomers detected a new ocean current pattern using a space-based telescope.,Science,2
289,A new poll shows shifting public opinion on education funding in the western province.,Politics,2
290,The Lakeside Bears coach defended the team's strategy after the loss to Riverside Hawks.,Sports,1
291,The soundtrack for studio Pinegrove's video game was released ahead of schedule.,Entertainment,3
292,producer Alex Kim announced a sequel to their hit film.,Entertainment,1
293,Reviews praise Porto Vale's museums as a top reason to visit.,Travel,2
294,Public health officials warn that anxiety disorders cases are rising this season.,Health,1
295,The state legislature proposed changes to tax policy ahead of the election.,Politics,2
296,Fans were disappointed after the Summit Eagles lost to the Coastal Titans at home.,Technology,1
297,Doctors recommend daily walking as part of managing type 2 diabetes.,Health,2
298,The Coastal Titans coach defended the team's strategy after the loss to Valley Sharks.,Sports,1
299,Critics gave mixed reviews to band The Hollow Pines's latest animated special.,Entertainment,1
300,The latest app update adds AI-assisted battery suggestions.,Technology,3
301,A new poll shows shifting public opinion on housing policy in the western province.,Politics,1
302,The city council signed an order addressing climate regulations concerns.,Politics,1
303,The mayor's office proposed changes to education funding ahead of the election.,Politics,2
304,Investors are watching revenue closely ahead of the central bank meeting.,Business & Finance,3
305,A team of researchers published findings on microbial colony in a peer-reviewed journal.,Science,2
306,Isla Verde introduced new rules affecting guided tours for tourists.,Travel,2
307,A field study tracked fossil record patterns over the past decade in genetics.,Science,2
308,The manufacturing industry saw record growth in export volume last quarter.,Uncategorized,0
309,The new video game from studio Pinegrove topped the charts in its opening week.,Entertainment,2
310,Voters in the southern district will decide on a healthcare reform measure this fall.,Politics,1
311,Analysts raised their price target for Quanta Labs citing strong profit margins.,Business & Finance,3
312,Reviewers say the cloud platform improves voice recognition but battery life suffers.,Technology,3
313,"Award nominations were announced, with singer Theo Banks's album leading the pack.",Entertainment,3
314,Critics gave mixed reviews to singer Theo Banks's latest video game.,Entertainment,2
315,The senate committee proposed changes to climate regulations ahead of the election.,Politics,1
316,Voters in the central valley will decide on a infrastructure spending measure this fall.,Politics,1
317,Devon Price was named player of the week following a standout performance.,Sports,1
318,A field study tracked atmospheric anomaly patterns over the past decade in astrophysics.,Science,2
319,Public health officials warn that heart disease cases are rising this season.,Health,1
320,Analysts raised their price target for Northfield Inc citing strong stock buybacks.,Business & Finance,3
321,Shares of Nexora fell after export volume missed forecasts.,Business & Finance,2
322,Small businesses in the agriculture sector are struggling with rising costs.,Uncategorized,0
323,Lake Senna introduced new rules affecting hiking trails for tourists.,Travel,1
324,Veltrix announced a merger that could reshape the real estate sector.,Business & Finance,1
325,The mayor's office proposed changes to immigration policy ahead of the election.,Politics,1
326,Scientists say the ocean current pattern could change how we understand astrophysics.,Science,1
327,The new animated special from comedian Greg Adler topped the charts in its opening week.,Entertainment,2
328,The soundtrack for band The Hollow Pines's documentary was released ahead of schedule.,Entertainment,2
329,Fans were disappointed after the Harbor City FC lost to the Lakeside Bears at home.,Technology,1
330,Bridgeline Corp is cutting jobs as it restructures around consumer spending.,Business & Finance,2
331,Reviews praise Lake Senna's beachfront resorts as a top reason to visit.,Travel,2
332,A new poll shows shifting public opinion on infrastructure spending in the capital region.,Politics,1
333,Researchers are testing a treatment for seasonal flu involving reduced screen time.,Health,2
334,Analysts raised their price target for Bridgeline Corp citing strong profit margins.,Business & Finance,3
335,The Riverside Hawks coach defended the team's strategy after the loss to Union Stars.,Sports,1
336,Reviews praise Lake Senna's guided tours as a top reason to visit.,Travel,3
337,A new study links a low-sodium diet to a lower risk of insomnia.,Health,3
338,studio Pinegrove discussed the inspiration behind their new film in an interview.,Entertainment,2
339,Budget travelers are choosing Bellamare for affordable beachfront resorts.,Travel,2
340,Travelers are flocking to Isla Verde for its hiking trails.,Travel,2
341,Budget travelers are choosing Calderbrook for affordable beachfront resorts.,Travel,2
342,Funding for geology research focused on fossil record was increased this year.,Science,2
343,Quanta Labs reported quarterly earnings that beat analyst expectations on operating costs.,Business & Finance,2
344,studio Pinegrove discussed the inspiration behind their new animated special in an interview.,Entertainment,2
345,The latest chip update adds AI-assisted security suggestions.,Technology,2
346,Developers are migrating to wearable device for better storage support.,Technology,3
347,The logistics industry saw record growth in revenue last quarter.,Business & Finance,1
348,Ticket sales surged ahead of the Summit Eagles versus Lakeside Bears championship game.,Sports,2
349,The animated special starring studio Pinegrove broke streaming records over the weekend.,Entertainment,3
350,The microbial colony was confirmed by two independent research groups.,Science,1
351,The Harbor City FC secured a last-minute win over their Summit Eagles rivals.,Sports,1
352,A security researcher found a flaw in smartphone that affects battery.,Technology,2
353,Nutritionists explain how reduced screen time affects long-term heart disease risk.,Health,2
354,Engineers at Nexora unveiled a browser update focused on processing speed.,Technology,3
355,Hospitals report a shortage of staff trained to treat heart disease.,Health,2
356,Developers are migrating to cloud platform for better accessibility support.,Technology,2
357,Analysts raised their price target for Solara Systems citing strong operating costs.,Business & Finance,2
358,Protesters gathered outside the state legislature to oppose the healthcare reform plan.,Politics,2
359,Ticket sales surged ahead of the Northgate Wolves versus Lakeside Bears championship game.,Sports,2
360,Voters in the capital region will decide on a education funding measure this fall.,Politics,2
361,Local officials in Porto Vale are investing in national parks for visitors.,Travel,2
362,Funding for astrophysics research focused on exoplanet was increased this year.,Politics,1
363,The Coastal Titans secured a last-minute win over their Lakeside Bears rivals.,Sports,1
364,Negotiations over education funding stalled after disagreements between parties.,Politics,2
365,Critics gave mixed reviews to producer Alex Kim's latest documentary.,Entertainment,1
366,Fans reacted to the surprise trailer for band The Hollow Pines's upcoming video game.,Entertainment,2
367,Airlines added more routes to Northcairn ahead of the busy season.,Travel,2
368,A new study links regular exercise to a lower risk of seasonal flu.,Health,3
369,Local officials in Porto Vale are investing in guided tours for visitors.,Travel,3
370,A new poll shows shifting public opinion on education funding in the capital region.,Politics,2
371,Solara Systems announced it will open-source its chip processing speed toolkit.,Technology,3
372,Bridgeline Corp announced it will open-source its chip camera toolkit.,Technology,3
373,The latest software suite update adds AI-assisted camera suggestions.,Technology,3
374,The new novel adaptation from author R. Castillo topped the charts in its opening week.,Entertainment,1
375,Doctors recommend intermittent fasting as part of managing joint pain.,Health,2
376,Porto Vale is seeing a surge in tourism after new guided tours were introduced.,Travel,3
377,The new software suite from Hartview Co promises faster data sync performance.,Technology,2
378,Nutritionists explain how daily walking affects long-term type 2 diabetes risk.,Health,2
379,Hospitals report a shortage of staff trained to treat chronic fatigue.,Health,2
380,"Award nominations were announced, with director Maya Lin's streaming series leading the pack.",Entertainment,3
381,Experts say reduced screen time alone is not enough to prevent high blood pressure.,Health,1
382,Reviewers say the browser improves security but battery life suffers.,Technology,2
383,A clinical trial found that daily walking reduced symptoms of anxiety disorders in adults.,Health,3
384,The new wearable device from Hartview Co promises faster voice recognition performance.,Technology,2
385,Experts caution that more data is needed to confirm the microbial colony.,Uncategorized,0
386,The Valley Sharks coach defended the team's strategy after the loss to Northgate Wolves.,Sports,1
387,Devon Price scored a career-high total in the Valley Sharks victory.,Sports,2
388,A security researcher found a flaw in wearable device that affects camera.,Technology,2
389,The Harbor City FC coach defended the team's strategy after the loss to Summit Eagles.,Sports,1
390,Protesters gathered outside the state legislature to oppose the minimum wage plan.,Politics,2
391,A field study tracked ocean current pattern patterns over the past decade in paleontology.,Health,1
392,A team of researchers published findings on gravitational signal in a peer-reviewed journal.,Science,3
393,Engineers at Hartview Co unveiled a wearable device update focused on processing speed.,Technology,3
394,Hartview Co announced a merger that could reshape the manufacturing sector.,Business & Finance,1
395,Reviewers say the software suite improves battery but battery life suffers.,Technology,2
396,Officials clashed over funding for infrastructure spending during the budget hearing.,Politics,2
397,The documentary starring studio Pinegrove broke streaming records over the weekend.,Entertainment,3
398,Quanta Labs reported quarterly earnings that beat analyst expectations on consumer spending.,Business & Finance,3
399,The atmospheric anomaly was confirmed by two independent research groups.,Science,2
400,The state legislature signed an order addressing infrastructure spending concerns.,Politics,1
401,Northfield Inc reported quarterly earnings that beat analyst expectations on operating costs.,Business & Finance,2
402,Researchers are testing a treatment for anxiety disorders involving regular exercise.,Health,3
403,Lawmakers debated a new infrastructure spending bill in a heated session.,Politics,2
404,Officials clashed over funding for education funding during the budget hearing.,Politics,2
405,The new cloud platform from Hartview Co promises faster security performance.,Technology,1
406,Solara Systems announced it will open-source its laptop storage toolkit.,Technology,3
407,The Lakeside Bears secured a last-minute win over their Riverside Hawks rivals.,Sports,1
408,The Lakeside Bears secured a last-minute win over their Harbor City FC rivals.,Sports,1
409,Funding for genetics research focused on gravitational signal was increased this year.,Science,2
410,Small businesses in the logistics sector are struggling with rising costs.,Uncategorized,0
411,The new wearable device from Nexora promises faster camera performance.,Technology,2
412,band The Hollow Pines discussed the inspiration behind their new album in an interview.,Entertainment,1
413,comedian Greg Adler announced a sequel to their hit stage musical.,Entertainment,2
414,The automotive industry saw record growth in operating costs last quarter.,Uncategorized,0
415,Negotiations over healthcare reform stalled after disagreements between parties.,Politics,1
416,Budget travelers are choosing Isla Verde for affordable museums.,Travel,2
417,The new laptop from Marrow Tech promises faster accessibility performance.,Technology,1
418,Analysts raised their price target for Quanta Labs citing strong export volume.,Business & Finance,2
419,"Award nominations were announced, with comedian Greg Adler's novel adaptation leading the pack.",Entertainment,3
420,Funding for climate science research focused on fossil record was increased this year.,Science,2
421,A clinical trial found that daily walking reduced symptoms of high blood pressure in adults.,Health,3
422,Doctors recommend a low-sodium diet as part of managing type 2 diabetes.,Health,3
423,The new film from director Maya Lin topped the charts in its opening week.,Entertainment,2
424,A security researcher found a flaw in cloud platform that affects battery.,Technology,2
425,Travelers are flocking to Porto Vale for its museums.,Travel,2
426,Lawmakers debated a new housing policy bill in a heated session.,Politics,2
427,Funding for geology research focused on microbial colony was increased this year.,Politics,1
428,Reviewers say the app improves security but battery life suffers.,Technology,2
429,The new wearable device from Marrow Tech promises faster security performance.,Technology,1
430,Reviews praise Driftwood Bay's historic landmarks as a top reason to visit.,Travel,1
431,Isla Verde introduced new rules affecting museums for tourists.,Travel,1
432,Bridgeline Corp announced a merger that could reshape the agriculture sector.,Business & Finance,1
433,A new guide highlights the best museums to experience in Isla Verde.,Travel,2
434,Small businesses in the real estate sector are struggling with rising costs.,Uncategorized,0
435,Budget travelers are choosing Calderbrook for affordable local food markets.,Travel,1
436,Ticket sales surged ahead of the Summit Eagles versus Coastal Titans championship game.,Sports,2
437,Veltrix is rolling out wearable device to enterprise customers this quarter.,Technology,1
438,Voters in the western province will decide on a climate regulations measure this fall.,Politics,1
439,Scientists say the microbial colony could change how we understand geology.,Science,1
440,Nexora reported quarterly earnings that beat analyst expectations on stock buybacks.,Business & Finance,3
441,Calderbrook is seeing a surge in tourism after new waterfront promenades were introduced.,Travel,2
442,The governor's office proposed changes to education funding ahead of the election.,Politics,3
443,Voters in the coastal counties will decide on a healthcare reform measure this fall.,Politics,1
444,Developers are migrating to cloud platform for better battery support.,Technology,3
445,Engineers at Nexora unveiled a wearable device update focused on voice recognition.,Technology,3
446,A clinical trial found that a low-sodium diet reduced symptoms of insomnia in adults.,Health,4
447,Travelers are flocking to Isla Verde for its guided tours.,Travel,3
448,Critics gave mixed reviews to band The Hollow Pines's latest video game.,Entertainment,1
449,A clinical trial found that strength training reduced symptoms of seasonal flu in adults.,Health,3
450,The regulatory board signed an order addressing infrastructure spending concerns.,Politics,1
451,comedian Greg Adler discussed the inspiration behind their new documentary in an interview.,Entertainment,2
452,Officials clashed over funding for tax policy during the budget hearing.,Politics,2
453,Lake Senna introduced new rules affecting waterfront promenades for tourists.,Travel,1
454,director Maya Lin announced a sequel to their hit animated special.,Entertainment,2
455,Funding for geology research focused on gene variant was increased this year.,Science,2
456,A clinical trial found that intermittent fasting reduced symptoms of heart disease in adults.,Health,3
457,Funding for materials science research focused on atmospheric anomaly was increased this year.,Science,2
458,Investors are watching profit margins closely ahead of the central bank meeting.,Business & Finance,3
459,The city council signed an order addressing housing policy concerns.,Politics,1
460,Tyler Banks scored a career-high total in the Summit Eagles victory.,Sports,2
461,Budget travelers are choosing Driftwood Bay for affordable national parks.,Travel,2
462,studio Pinegrove announced a sequel to their hit album.,Entertainment,2
463,Astronomers detected a new exoplanet using a space-based telescope.,Science,2
464,Engineers at Bridgeline Corp unveiled a cloud platform update focused on accessibility.,Technology,2
465,Experts caution that more data is needed to confirm the fossil record.,Science,1
466,Veltrix announced it will open-source its app data sync toolkit.,Technology,3
467,The soundtrack for director Maya Lin's streaming series was released ahead of schedule.,Entertainment,3
468,Experts say a low-sodium diet alone is not enough to prevent chronic fatigue.,Health,2
469,Experts say daily walking alone is not enough to prevent anxiety disorders.,Health,1
470,The senate committee proposed changes to infrastructure spending ahead of the election.,Politics,1
471,Researchers are testing a treatment for type 2 diabetes involving regular exercise.,Health,3
472,The city council signed an order addressing healthcare reform concerns.,Politics,1
473,Travelers are flocking to Mount Arden for its museums.,Travel,2
474,Funding for marine biology research focused on atmospheric anomaly was increased this year.,Science,2
475,A team of researchers published findings on atmospheric anomaly in a peer-reviewed journal.,Science,3
476,Researchers are testing a treatment for seasonal flu involving intermittent fasting.,Health,2
477,Nutritionists explain how regular exercise affects long-term joint pain risk.,Health,3
478,Critics gave mixed reviews to showrunner Dana Webb's latest novel adaptation.,Entertainment,2
479,Marrow Tech is cutting jobs as it restructures around operating costs.,Business & Finance,1
480,Budget travelers are choosing Porto Vale for affordable guided tours.,Travel,3
481,The automotive industry saw record growth in revenue last quarter.,Business & Finance,1
482,A field study tracked atmospheric anomaly patterns over the past decade in paleontology.,Science,2
483,Engineers at Northfield Inc unveiled a smartphone update focused on storage.,Technology,3
484,Carlos Vega scored a career-high total in the Lakeside Bears victory.,Sports,2
485,Lake Senna is seeing a surge in tourism after new beachfront resorts were introduced.,Travel,2
486,Doctors recommend a low-sodium diet as part of managing chronic fatigue.,Health,3
487,Local officials in Bellamare are investing in historic landmarks for visitors.,Travel,1
488,Carlos Vega scored a career-high total in the Valley Sharks victory.,Sports,2
489,Astronomers detected a new atmospheric anomaly using a space-based telescope.,Science,3
490,Travelers are flocking to Bellamare for its waterfront promenades.,Travel,2
491,The regulatory board signed an order addressing education funding concerns.,Politics,2
492,Developers are migrating to cloud platform for better voice recognition support.,Technology,3
493,Porto Vale is seeing a surge in tourism after new hiking trails were introduced.,Travel,2
494,Nutritionists explain how a low-sodium diet affects long-term heart disease risk.,Health,3
495,The Valley Sharks signed Tyler Banks to a multi-year contract extension.,Sports,1
496,The real estate industry saw record growth in quarterly sales last quarter.,Business & Finance,1
497,The Northgate Wolves signed Devon Price to a multi-year contract extension.,Sports,1
498,Protesters gathered outside the state legislature to oppose the immigration policy plan.,Politics,2
499,Local officials in Driftwood Bay are investing in historic landmarks for visitors.,Travel,1
500,Engineers at Veltrix unveiled a software suite update focused on camera.,Technology,3
501,"Award nominations were announced, with showrunner Dana Webb's streaming series leading the pack.",Entertainment,3
502,Doctors recommend regular exercise as part of managing high blood pressure.,Health,3
503,The hospitality industry saw record growth in operating costs last quarter.,Uncategorized,0
504,Travelers are flocking to Driftwood Bay for its hiking trails.,Travel,2
505,A new poll shows shifting public opinion on minimum wage in the border region.,Politics,1
506,A breakthrough in astrophysics could lead to practical uses for atmospheric anomaly.,Science,2
507,Engineers at Veltrix unveiled a cloud platform update focused on processing speed.,Technology,3
508,Doctors recommend intermittent fasting as part of managing anxiety disorders.,Health,2
509,A breakthrough in paleontology could lead to practical uses for mineral deposit.,Science,1
510,Noah Fischer scored a career-high total in the Summit Eagles victory.,Sports,2
511,Budget travelers are choosing Porto Vale for affordable hiking trails.,Travel,2
512,The governor's office proposed changes to minimum wage ahead of the election.,Politics,2
513,Nutritionists explain how better sleep habits affects long-term type 2 diabetes risk.,Health,3
514,The Summit Eagles secured a last-minute win over their Lakeside Bears rivals.,Sports,1
515,Ticket sales surged ahead of the Coastal Titans versus Union Stars championship game.,Sports,2
516,Fans were disappointed after the Summit Eagles lost to the Lakeside Bears at home.,Technology,1
517,A field study tracked ocean current pattern patterns over the past decade in materials science.,Health,1
518,Officials clashed over funding for housing policy during the budget hearing.,Politics,2
519,Nexora reported quarterly earnings that beat analyst expectations on operating costs.,Business & Finance,2
520,The Lakeside Bears signed Noah Fischer to a multi-year contract extension.,Sports,1
521,Hospitals report a shortage of staff trained to treat anxiety disorders.,Health,2
522,Critics gave mixed reviews to singer Theo Banks's latest streaming series.,Entertainment,2
523,Travelers are flocking to Porto Vale for its waterfront promenades.,Travel,2
524,Ticket sales surged ahead of the Northgate Wolves versus Summit Eagles championship game.,Sports,2
525,Budget travelers are choosing Porto Vale for affordable local food markets.,Travel,1
526,A new guide highlights the best historic landmarks to experience in Calderbrook.,Travel,1
527,Nexora is cutting jobs as it restructures around consumer spending.,Business & Finance,2
528,Experts say better sleep habits alone is not enough to prevent heart disease.,Health,2
529,A new guide highlights the best beachfront resorts to experience in Driftwood Bay.,Travel,2
530,Astronomers detected a new fossil record using a space-based telescope.,Science,3
531,The streaming series starring band The Hollow Pines broke streaming records over the weekend.,Entertainment,1
532,A clinical trial found that regular exercise reduced symptoms of heart disease in adults.,Health,4
533,Budget travelers are choosing Northcairn for affordable waterfront promenades.,Travel,2
534,Marcus Reed was named player of the week following a standout performance.,Sports,1
535,Analysts raised their price target for Marrow Tech citing strong stock buybacks.,Business & Finance,3
536,band The Hollow Pines discussed the inspiration behind their new video game in an interview.,Entertainment,1
537,The film starring director Maya Lin broke streaming records over the weekend.,Entertainment,3
538,The Coastal Titans secured a last-minute win over their Coastal Titans rivals.,Sports,1
539,Engineers at Hartview Co unveiled a cloud platform update focused on voice recognition.,Technology,3
540,Quanta Labs is cutting jobs as it restructures around subscriber growth.,Business & Finance,2
541,Sam Whitfield scored a career-high total in the Lakeside Bears victory.,Sports,2
542,A breakthrough in geology could lead to practical uses for ocean current pattern.,Science,1
543,A breakthrough in astrophysics could lead to practical uses for gene variant.,Science,2
544,The Valley Sharks secured a last-minute win over their Valley Sharks rivals.,Sports,1
545,Shares of Bridgeline Corp fell after quarterly sales missed forecasts.,Business & Finance,3
546,The mineral deposit was confirmed by two independent research groups.,Science,1
547,Shares of Hartview Co fell after revenue missed forecasts.,Business & Finance,3
548,A team of researchers published findings on gene variant in a peer-reviewed journal.,Science,3
549,Marrow Tech is cutting jobs as it restructures around profit margins.,Business & Finance,2
550,Engineers at Solara Systems unveiled a app update focused on storage.,Technology,3
551,Jamal Carter was named player of the week following a standout performance.,Sports,1
552,The soundtrack for director Maya Lin's video game was released ahead of schedule.,Entertainment,3
553,The logistics industry saw record growth in consumer spending last quarter.,Business & Finance,1
554,The state legislature proposed changes to education funding ahead of the election.,Politics,3
555,A new study links a low-sodium diet to a lower risk of joint pain.,Health,3
556,A breakthrough in genetics could lead to practical uses for ocean current pattern.,Science,1
557,Jamal Carter scored a career-high total in the Valley Sharks victory.,Sports,2
558,"Award nominations were announced, with showrunner Dana Webb's novel adaptation leading the pack.",Entertainment,3
559,showrunner Dana Webb announced a sequel to their hit streaming series.,Entertainment,2
560,A field study tracked fossil record patterns over the past decade in materials science.,Science,2
